Template,Degree Type,First,v2,v3,v5,v6,Area of Interest (Pre-select),Select Your Degree (Pre-select),,,
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-health-care-administration,https://www.uagc.edu/success/degree/ma-health-care-administration-v2,https://www.uagc.edu/success/degree/ma-health-care-administration-v3,https://www.uagc.edu/success/degree/ma-health-care-administration-v5,https://www.uagc.edu/success/degree/ma-health-care-administration-v6,Health Care,MA in Health Care Administration,https://www.uagc.edu/success/degree/ba-supply-chain-management,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-human-services,https://www.uagc.edu/success/degree/ma-human-services-v2,https://www.uagc.edu/success/degree/ma-human-services-v3,https://www.uagc.edu/success/degree/ma-human-services-v5,https://www.uagc.edu/success/degree/ma-human-services-v6,Social & Behavioral Science,MA in Human Services,https://www.uagc.edu/success/degree/bs-computer-software-technology,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-organizational-management,https://www.uagc.edu/success/degree/ma-organizational-management-v2,https://www.uagc.edu/success/degree/ma-organizational-management-v3,https://www.uagc.edu/success/degree/ma-organizational-management-v5,https://www.uagc.edu/success/degree/ma-organizational-management-v6,Business,MA in Organizational Management,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-psychology,https://www.uagc.edu/success/degree/ma-psychology-v2,https://www.uagc.edu/success/degree/ma-psychology-v3,https://www.uagc.edu/success/degree/ma-psychology-v5,https://www.uagc.edu/success/degree/ma-psychology-v6,Social & Behavioral Science,MA in Psychology,https://www.uagc.edu/success/degree/bs-health-information-management,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-special-education,https://www.uagc.edu/success/degree/ma-special-education-v2,https://www.uagc.edu/success/degree/ma-special-education-v3,https://www.uagc.edu/success/degree/ma-special-education-v5,https://www.uagc.edu/success/degree/ma-special-education-v6,Education,MA in Special Education,https://www.uagc.edu/success/degree/bs-informational-technology,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/master-human-resource-management,https://www.uagc.edu/success/degree/master-human-resource-management-v2,https://www.uagc.edu/success/degree/master-human-resource-management-v3,https://www.uagc.edu/success/degree/master-human-resource-management-v5,https://www.uagc.edu/success/degree/master-human-resource-management-v6,Business,Master of Human Resource Management,https://www.uagc.edu/success/degree/bs-nursing,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/master-informational-sciences-management,https://www.uagc.edu/success/degree/master-informational-sciences-management-v2,https://www.uagc.edu/success/degree/master-informational-sciences-management-v3,https://www.uagc.edu/success/degree/master-informational-sciences-management-v5,https://www.uagc.edu/success/degree/master-informational-sciences-management-v6,Information Technology,Master of Information Systems Management (MISM),https://www.uagc.edu/success/degree/doctorate-education,Doctoral,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/master-of-accountancy,https://www.uagc.edu/success/degree/master-of-accountancy-v2,https://www.uagc.edu/success/degree/master-of-accountancy-v3,https://www.uagc.edu/success/degree/master-of-accountancy-v5,https://www.uagc.edu/success/degree/master-of-accountancy-v6,Business,Master of Accountancy,https://www.uagc.edu/success/degree/doctorate-human-services,Doctoral,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/master-public-health,https://www.uagc.edu/success/degree/master-public-health-v2,https://www.uagc.edu/success/degree/master-public-health-v3,https://www.uagc.edu/success/degree/master-public-health-v5,https://www.uagc.edu/success/degree/master-public-health-v6,Health Care,Master of Public Health (MPH),https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership,Doctoral,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/mba,https://www.uagc.edu/success/degree/mba-v2,https://www.uagc.edu/success/degree/mba-v3,https://www.uagc.edu/success/degree/mba-v5,https://www.uagc.edu/success/degree/mba-v6,Business,Master of Business Administration MBA,https://www.uagc.edu/success/degree/doctorate-psychology,Doctoral,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ms-criminal-justice,https://www.uagc.edu/success/degree/ms-criminal-justice-v2,https://www.uagc.edu/success/degree/ms-criminal-justice-v3,https://www.uagc.edu/success/degree/ms-criminal-justice-v5,https://www.uagc.edu/success/degree/ms-criminal-justice-v6,Criminal Justice,Master of science in Criminal Justice,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership,Masters,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ms-finance,https://www.uagc.edu/success/degree/ms-finance-v2,https://www.uagc.edu/success/degree/ms-finance-v3,https://www.uagc.edu/success/degree/ms-finance-v5,https://www.uagc.edu/success/degree/ms-finance-v6,Business,MS in Finance,https://www.uagc.edu/success/degree/ma-education,Masters,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ms-health-information-analytics,https://www.uagc.edu/success/degree/ms-health-information-analytics-v2,https://www.uagc.edu/success/degree/ms-health-information-analytics-v3,https://www.uagc.edu/success/degree/ms-health-information-analytics-v5,https://www.uagc.edu/success/degree/ms-health-information-analytics-v6,Health Care,MS in Health Informatics & Analytics,https://www.uagc.edu/success/degree/ma-health-care-administration,Masters,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ms-instructional-design-technology,https://www.uagc.edu/success/degree/ms-instructional-design-technology-v2,https://www.uagc.edu/success/degree/ms-instructional-design-technology-v3,https://www.uagc.edu/success/degree/ms-instructional-design-technology-v5,https://www.uagc.edu/success/degree/ms-instructional-design-technology-v6,Education,MS in Instructional Design & Technology,https://www.uagc.edu/success/degree/ma-human-services,Masters,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ms-technology-management,https://www.uagc.edu/success/degree/ms-technology-management-v2,https://www.uagc.edu/success/degree/ms-technology-management-v3,https://www.uagc.edu/success/degree/ms-technology-management-v5,https://www.uagc.edu/success/degree/ms-technology-management-v6,Information Technology,Master of Information Systems Management (MISM),https://www.uagc.edu/success/degree/ma-organizational-management,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/business-economics,,,https://www.uagc.edu/success/emphasis/business-economics-v5,,,,https://www.uagc.edu/success/degree/ma-psychology,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/english,,,https://www.uagc.edu/success/emphasis/english-v5,,,,https://www.uagc.edu/success/degree/ma-special-education,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/entrepreneurship,,,https://www.uagc.edu/success/emphasis/entrepreneurship-v5,,,,https://www.uagc.edu/success/degree/master-human-resource-management,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/financial-planning,,,https://www.uagc.edu/success/emphasis/financial-planning-v5,,,,https://www.uagc.edu/success/degree/master-informational-sciences-management,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/health-wellness,,,https://www.uagc.edu/success/emphasis/health-wellness-v5,,,,https://www.uagc.edu/success/degree/master-of-accountancy,Masters,Program Specific
Emphasis,N/A,https://www.uagc.edu/success/emphasis/history,,,https://www.uagc.edu/success/emphasis/history-v5,,,,https://www.uagc.edu/success/degree/master-public-health,Masters,Program Specific
